             cname              | u  |   v    |  w   |           x           | y | z 
--------------------------------+----+--------+------+-----------------------+---+---
 Acme Mountain Gear             | 10 |  22000 | 1000 | 8636.3636363636363636 | 4 | 0
 Anchorage Igloos               |  4 |  14000 | 1000 | 4200.0000000000000000 | 1 | 0
 Avalanche Tours                |  4 |  14000 | 1000 | 4200.0000000000000000 | 1 | 0
 Bama Pork Rinds                |  5 |  14000 | 1000 | 3666.6666666666666667 | 1 | 1
 Bayou Development              |  3 |  14000 | 1000 | 5000.0000000000000000 | 1 | 0
 Big Swamp Realty               |  4 |  14000 | 1000 | 4200.0000000000000000 | 1 | 0
 Bilo Selhi Financial           |  4 |  14000 | 1000 | 4200.0000000000000000 | 1 | 0
 Blammo Toys, Inc.              |  4 |  14000 | 1000 | 4200.0000000000000000 | 1 | 0
 Blo Naway Developers           |  3 |  14000 | 1000 | 5000.0000000000000000 | 1 | 0
 Boise Fertilizer, Inc.         |  4 |  14000 |  200 | 4040.0000000000000000 | 2 | 0
 Cactus Needle Co.              |  4 |  14000 | 1000 | 4200.0000000000000000 | 1 | 0
 Cogswell Cogs                  |  7 |  41000 | 1000 | 8416.6666666666666667 | 1 | 0
 Crashalot Air                  |  4 |  14000 | 1000 | 6000.0000000000000000 | 1 | 0
 Crawdads R Us                  |  4 |  14000 | 1000 | 4200.0000000000000000 | 1 | 0
 Da Bulls Novelty Co.           |  4 |  14000 | 1000 | 4200.0000000000000000 | 1 | 0
 Dead Canary Mining Corp.       |  5 |  14000 |  500 | 3583.3333333333333333 | 2 | 0
 Dewey, Cheatem, & Howe         |  4 |  14000 | 1000 | 4200.0000000000000000 | 1 | 0
 Downeast Outfitters            |  2 |  14000 | 1000 | 5000.0000000000000000 | 1 | 0
 Flatland Chemicals             |  5 |  14000 | 1000 | 3666.6666666666666667 | 1 | 1
 Hiccup Liquors                 |  3 |  14000 | 1000 | 5000.0000000000000000 | 1 | 0
 Howard, Fine, &Howard          |  3 |  14000 | 1000 | 5000.0000000000000000 | 1 | 0
 Husky Corn Co.                 |  4 |  14000 | 1000 | 4200.0000000000000000 | 1 | 0
 Jimmys Peanuts                 |  4 |  23000 | 1000 | 5000.0000000000000000 | 1 | 1
 Levy Associates, Inc.          |  3 |  14000 | 1000 | 5000.0000000000000000 | 1 | 0
 Macon Bacon Corp.              |  5 |  20000 | 1000 | 6833.3333333333333333 | 2 | 0
 Makalottamula Publishers       | 36 |  14000 | 1000 | 1473.6842105263157895 | 2 | 0
 Maui Wowie Herbs               |  6 |  14000 | 1000 | 5142.8571428571428571 | 2 | 1
 Moonshine Fuels                |  5 |  14000 | 1000 | 4433.3333333333333333 | 2 | 0
 Mucho Smello Perfumes          |  4 |  14000 | 1000 | 4200.0000000000000000 | 1 | 0
 Nev Erpay Insurance            |  3 |  14000 | 1000 | 5000.0000000000000000 | 1 | 0
 Northeast Burro Transport      |  3 |  14000 | 1000 | 5000.0000000000000000 | 1 | 0
 Pattenaude Used Books          |  5 | 100000 | 1000 |    20166.666666666667 | 1 | 1
 Pluckin Chicken, Inc.          |  5 |  50000 | 1000 |    11833.333333333333 | 1 | 1
 Random Number Generators       | 22 |   6000 | 1000 | 1280.0000000000000000 | 0 | 0
 Rinky Dink Inc.                | 52 |  24000 | 1000 | 9636.3636363636363636 | 1 | 0
 Rockemwell Aerospace           |  4 |  14000 | 1000 | 4200.0000000000000000 | 1 | 0
 Simply SiliconBoards & Implant |  3 |  14000 | 1000 | 5000.0000000000000000 | 1 | 0
 Spacely Sprockets              |  6 |  14000 | 1000 | 2333.3333333333333333 | 1 | 0
 Spudlys Potato Products        |  4 | 100000 | 1000 |    24000.000000000000 | 1 | 1
 Stinkemup Plastics             |  3 |  14000 | 1000 | 5000.0000000000000000 | 1 | 0
 Stumpys Gator Farm             |  4 |  14000 | 1000 | 4200.0000000000000000 | 1 | 0
 Sunny Grove Pines              |  6 |  21000 | 1000 | 6714.2857142857142857 | 2 | 0
 Supro Toxics                   |  5 |  14000 | 1000 | 5166.6666666666666667 | 2 | 1
 Toto Pet Supply                |  4 |  14000 | 1000 | 4200.0000000000000000 | 1 | 0
 Wee Burnem Oil Fields          |  4 |  14000 | 1000 | 4200.0000000000000000 | 1 | 0
(45 rows)

