     sname     |     sname     
---------------+---------------
 Akaka         | Biden
 Akaka         | Breaux
 Akaka         | Cranston
 Akaka         | DeConcini
 Akaka         | Dodd
 Akaka         | Feinstein
 Akaka         | Ford
 Akaka         | Graham
 Akaka         | Harkin
 Akaka         | Inouye
 Akaka         | Johnston
 Akaka         | Kassebaum
 Akaka         | Levin
 Akaka         | Lieberman
 Akaka         | Moseley-Braun
 Akaka         | Riegle
 Akaka         | Sarbanes
 Akaka         | Shelby
 Akaka         | Simon
 Akaka         | Wellstone
 Akaka         | Wirth
 Biden         | Breaux
 Biden         | Cranston
 Biden         | DeConcini
 Biden         | Dodd
 Biden         | Feinstein
 Biden         | Ford
 Biden         | Graham
 Biden         | Harkin
 Biden         | Inouye
 Biden         | Johnston
 Biden         | Kassebaum
 Biden         | Levin
 Biden         | Lieberman
 Biden         | Moseley-Braun
 Biden         | Riegle
 Biden         | Sarbanes
 Biden         | Shelby
 Biden         | Simon
 Biden         | Wellstone
 Biden         | Wirth
 Bond          | Coats
 Bond          | Danforth
 Bond          | Lugar
 Breaux        | Cranston
 Breaux        | DeConcini
 Breaux        | Dodd
 Breaux        | Feinstein
 Breaux        | Ford
 Breaux        | Graham
 Breaux        | Harkin
 Breaux        | Inouye
 Breaux        | Johnston
 Breaux        | Kassebaum
 Breaux        | Levin
 Breaux        | Lieberman
 Breaux        | Moseley-Braun
 Breaux        | Riegle
 Breaux        | Sarbanes
 Breaux        | Shelby
 Breaux        | Simon
 Breaux        | Wellstone
 Breaux        | Wirth
 Brown         | Cochran
 Brown         | Craig
 Brown         | Dole
 Brown         | Durenberger
 Brown         | Grassley
 Brown         | Mack
 Brown         | McCain
 Brown         | McConnell
 Brown         | Murkowski
 Brown         | Roth
 Brown         | Simpson
 Brown         | Stevens
 Brown         | Symms
 Coats         | Danforth
 Coats         | Lugar
 Cochran       | Craig
 Cochran       | Dole
 Cochran       | Durenberger
 Cochran       | Grassley
 Cochran       | Mack
 Cochran       | McCain
 Cochran       | McConnell
 Cochran       | Murkowski
 Cochran       | Roth
 Cochran       | Simpson
 Cochran       | Stevens
 Cochran       | Symms
 Craig         | Dole
 Craig         | Durenberger
 Craig         | Grassley
 Craig         | Mack
 Craig         | McCain
 Craig         | McConnell
 Craig         | Murkowski
 Craig         | Roth
 Craig         | Simpson
 Craig         | Stevens
 Craig         | Symms
 Cranston      | DeConcini
 Cranston      | Dodd
 Cranston      | Feinstein
 Cranston      | Ford
 Cranston      | Graham
 Cranston      | Harkin
 Cranston      | Inouye
 Cranston      | Johnston
 Cranston      | Kassebaum
 Cranston      | Levin
 Cranston      | Lieberman
 Cranston      | Moseley-Braun
 Cranston      | Riegle
 Cranston      | Sarbanes
 Cranston      | Shelby
 Cranston      | Simon
 Cranston      | Wellstone
 Cranston      | Wirth
 Danforth      | Lugar
 DeConcini     | Dodd
 DeConcini     | Feinstein
 DeConcini     | Ford
 DeConcini     | Graham
 DeConcini     | Harkin
 DeConcini     | Inouye
 DeConcini     | Johnston
 DeConcini     | Kassebaum
 DeConcini     | Levin
 DeConcini     | Lieberman
 DeConcini     | Moseley-Braun
 DeConcini     | Riegle
 DeConcini     | Sarbanes
 DeConcini     | Shelby
 DeConcini     | Simon
 DeConcini     | Wellstone
 DeConcini     | Wirth
 Dodd          | Feinstein
 Dodd          | Ford
 Dodd          | Graham
 Dodd          | Harkin
 Dodd          | Inouye
 Dodd          | Johnston
 Dodd          | Kassebaum
 Dodd          | Levin
 Dodd          | Lieberman
 Dodd          | Moseley-Braun
 Dodd          | Riegle
 Dodd          | Sarbanes
 Dodd          | Shelby
 Dodd          | Simon
 Dodd          | Wellstone
 Dodd          | Wirth
 Dole          | Durenberger
 Dole          | Grassley
 Dole          | Mack
 Dole          | McCain
 Dole          | McConnell
 Dole          | Murkowski
 Dole          | Roth
 Dole          | Simpson
 Dole          | Stevens
 Dole          | Symms
 Durenberger   | Grassley
 Durenberger   | Mack
 Durenberger   | McCain
 Durenberger   | McConnell
 Durenberger   | Murkowski
 Durenberger   | Roth
 Durenberger   | Simpson
 Durenberger   | Stevens
 Durenberger   | Symms
 Feinstein     | Ford
 Feinstein     | Graham
 Feinstein     | Harkin
 Feinstein     | Inouye
 Feinstein     | Johnston
 Feinstein     | Kassebaum
 Feinstein     | Levin
 Feinstein     | Lieberman
 Feinstein     | Moseley-Braun
 Feinstein     | Riegle
 Feinstein     | Sarbanes
 Feinstein     | Shelby
 Feinstein     | Simon
 Feinstein     | Wellstone
 Feinstein     | Wirth
 Ford          | Graham
 Ford          | Harkin
 Ford          | Inouye
 Ford          | Johnston
 Ford          | Kassebaum
 Ford          | Levin
 Ford          | Lieberman
 Ford          | Moseley-Braun
 Ford          | Riegle
 Ford          | Sarbanes
 Ford          | Shelby
 Ford          | Simon
 Ford          | Wellstone
 Ford          | Wirth
 Fowler        | Kennedy
 Fowler        | Kerry
 Fowler        | Nunn
 Graham        | Harkin
 Graham        | Inouye
 Graham        | Johnston
 Graham        | Kassebaum
 Graham        | Levin
 Graham        | Lieberman
 Graham        | Moseley-Braun
 Graham        | Riegle
 Graham        | Sarbanes
 Graham        | Shelby
 Graham        | Simon
 Graham        | Wellstone
 Graham        | Wirth
 Grassley      | Mack
 Grassley      | McCain
 Grassley      | McConnell
 Grassley      | Murkowski
 Grassley      | Roth
 Grassley      | Simpson
 Grassley      | Stevens
 Grassley      | Symms
 Harkin        | Inouye
 Harkin        | Johnston
 Harkin        | Kassebaum
 Harkin        | Levin
 Harkin        | Lieberman
 Harkin        | Moseley-Braun
 Harkin        | Riegle
 Harkin        | Sarbanes
 Harkin        | Shelby
 Harkin        | Simon
 Harkin        | Wellstone
 Harkin        | Wirth
 Hutchinson    | Webster
 Inouye        | Johnston
 Inouye        | Kassebaum
 Inouye        | Levin
 Inouye        | Lieberman
 Inouye        | Moseley-Braun
 Inouye        | Riegle
 Inouye        | Sarbanes
 Inouye        | Shelby
 Inouye        | Simon
 Inouye        | Wellstone
 Inouye        | Wirth
 Johnston      | Kassebaum
 Johnston      | Levin
 Johnston      | Lieberman
 Johnston      | Moseley-Braun
 Johnston      | Riegle
 Johnston      | Sarbanes
 Johnston      | Shelby
 Johnston      | Simon
 Johnston      | Wellstone
 Johnston      | Wirth
 Kassebaum     | Levin
 Kassebaum     | Lieberman
 Kassebaum     | Moseley-Braun
 Kassebaum     | Riegle
 Kassebaum     | Sarbanes
 Kassebaum     | Shelby
 Kassebaum     | Simon
 Kassebaum     | Wellstone
 Kassebaum     | Wirth
 Kennedy       | Kerry
 Kennedy       | Nunn
 Kerry         | Nunn
 Levin         | Lieberman
 Levin         | Moseley-Braun
 Levin         | Riegle
 Levin         | Sarbanes
 Levin         | Shelby
 Levin         | Simon
 Levin         | Wellstone
 Levin         | Wirth
 Lieberman     | Moseley-Braun
 Lieberman     | Riegle
