 legnum |   vdate    |  w   |         x         |  y   |         z         | partisan 
--------+------------+------+-------------------+------+-------------------+----------
   1234 | 1993-10-11 | Yea  | 0.586206896551724 | Yea  |               0.6 | f
   1235 | 1994-03-22 | Yea  | 0.612903225806452 | Yea  | 0.714285714285714 | f
   1236 | 1994-03-24 | Yea  | 0.870967741935484 | Yea  | 0.523809523809524 | f
   1237 | 1994-05-02 | Yea  | 0.645161290322581 | Yea  | 0.714285714285714 | f
   1238 | 1994-05-02 | Yea  | 0.548387096774194 | Yea  | 0.952380952380952 | f
   1239 | 1994-05-05 | Yea  |  0.67741935483871 | Yea  | 0.619047619047619 | f
   1240 | 1994-03-01 | Yea  |           0.96875 | Yea  |                 1 | f
   1240 | 1994-06-07 | Yea  | 0.774193548387097 | Yea  | 0.714285714285714 | f
   1241 | 1993-06-09 | Yea  | 0.733333333333333 | Yea  |               0.8 | f
   1242 | 1993-09-27 | Yea  | 0.689655172413793 | Yea  | 0.904761904761905 | f
   1243 | 1993-06-01 | Yea  | 0.666666666666667 | Yea  |                 1 | f
   1243 | 1993-10-01 | Yea  |                 1 | Yea  |                 1 | f
   1243 | 1994-03-06 | Nay  | 0.903225806451613 | Yea  |                 1 | t
   1244 | 1993-06-01 | Yea  |                 1 | Nay  |                 1 | t
   1245 | 1993-08-01 | Yea  |                 1 | Even |               0.5 | f
   1245 | 1994-03-01 | Even |               0.5 | Even |               0.5 | f
   1245 | 1994-03-02 | Nay  |           0.96875 | Nay  |                 1 | f
   1245 | 1994-03-03 | Yea  |                 1 | Yea  |                 1 | f
   1245 | 1994-03-04 | Yea  |                 1 | Nay  |                 1 | t
   1245 | 1994-03-05 | Yea  |                 1 | Nay  |                 1 | t
   1245 | 1994-03-10 | Yea  |                 1 | Yea  |                 1 | f
   1246 | 1998-10-10 | Yea  |                 1 | Yea  |                 1 | f
   1247 | 1997-11-12 | Nay  |             0.875 | Nay  | 0.727272727272727 | f
   1248 | 1995-06-08 | Yea  |            0.9375 | Yea  | 0.909090909090909 | f
(24 rows)

